latitude,longitude,pointValue
38.019733,-122.136353,80.9
37.307041,-120.475891,99.9
37.666859,-122.097786,43.2
37.867603,-122.299995,73.4
37.840679,-122.29068,71.3
38.243465,-122.039543,97.1
38.58403,-121.49955,99.2
37.530312,-120.798798,99.2
37.956668,-121.278989,97.1
37.946011,-121.284271,97.1
38.018085,-121.815132,88.7
37.66814,-120.911598,99.2
38.544113,-121.737068,99.2
38.13354,-121.271594,97.1
37.794647,-122.270744,72.9
37.751881,-122.19774,45.6
37.33107,-121.901207,78.4
37.82307,-122.31121,73.9
37.80946,-122.31917,73.9
37.80172,-122.30774,66.2
37.74179,-122.18292,41.2
38.58101,-121.5164,99.2
37.92024,-122.38609,68.4
37.63673,-120.91469,99.2
37.94741,-121.26065,97.1
37.85572,-121.27013,97.1
37.80818,-122.30743,66.2
38.69875,-121.75897,99.2
37.7459,-122.18777,46.3
37.63407,-120.91138,99.2
38.69195,-121.77762,99.2
37.72984,-121.12066,97.1
38.08353,-122.24626,80.9
37.79528,-122.30456,66.2
37.80135,-122.3075,66.2
37.91135,-122.36675,68.4
37.94536,-121.32204,97.1
37.904,-121.27242,97.1
37.77955,-122.23558,62.8
37.95074,-122.41675,73.4
37.92124,-122.36599,63.7
38.01689,-121.81385,89.0
37.62773,-120.92027,99.2
37.63129,-120.93765,99.2
38.57378,-121.57764,99.2
37.94527,-121.32338,97.1
37.94513,-121.3257,97.1
37.94527,-121.32338,97.1
37.96045,-121.26393,97.1
37.97396,-121.26728,97.1
37.97067,-121.237,97.1
37.97217,-121.23948,97.1
37.93971,-121.231,97.1
37.29383,-120.37901,99.9
37.33687,-121.90577,78.4
37.80818,-122.30743,66.2
37.95477,-122.35952,46.3
37.558197,-122.006378,49.9
37.37851,-121.946411,72.9
36.679363,-121.656189,99.2
37.936085,-122.35305,53.9
37.31019,-121.86129,77.1
37.49733,-121.95111,54.5
38.236,-122.0469,97.1
37.97193,-122.35534,38.2
