latitude,longitude,pointValue
37.93167,-122.34667,73.4
37.87889,-122.18389,73.8
37.91667,-122.30833,64.4
37.92167,-122.31167,66.6
37.925,-122.315,68.9
37.93167,-122.335,73.4
37.93167,-122.335,73.4
37.92667,-122.05833,87.3
37.93333,-122.04667,76.9
37.7,-122.13333,64.4
37.68,-122.1,75.6
37.80806,-122.30583,82.0
37.94167,-122.02833,93.5
37.96833,-122.03,99.2
37.66667,-122.08167,55.4
37.77,-122.22,79.7
37.66667,-122.08167,55.4
37.83833,-122.265,87.5
37.80301,-122.29126,80.1
37.625,-122.05,56.1
37.62667,-122.05,47.7
37.635,-122.05667,56.1
37.635,-122.05667,56.1
37.77,-122.21667,79.7
37.77667,-122.22667,81.6
37.82833,-122.26667,88.5
37.82833,-122.26667,88.5
37.82833,-122.26667,88.5
37.82833,-122.26667,88.5
37.76167,-122.20333,65.5
37.65833,-122.075,49.7
37.65833,-122.075,49.7
37.735,-122.17333,33.9
37.65,-122.07,51.8
37.65,-122.07,51.8
37.69167,-122.11833,68.9
37.69167,-122.11833,68.9
37.75,-122.195,59.8
37.88833,-122.29167,75.6
37.88167,-122.28833,81.6
37.84833,-122.27,90.8
37.84,-122.26833,86.4
37.835,-122.265,87.5
37.845,-122.25,87.5
37.84333,-122.25333,87.5
37.84333,-122.25667,87.5
37.84333,-122.25667,87.5
37.84167,-122.26,87.5
37.84,-122.26333,87.5
37.83333,-122.265,87.5
37.83167,-122.265,88.5
37.83,-122.26667,88.5
37.81833,-122.26833,86.4
37.81667,-122.27,86.7
37.81333,-122.27,92.0
37.8,-122.27833,82.0
37.80167,-122.28167,82.0
37.80167,-122.28333,80.1
37.80333,-122.28667,80.1
37.80667,-122.29667,80.1
37.80833,-122.31167,69.8
37.77833,-122.23,79.7
37.775,-122.22333,79.7
37.76667,-122.21167,77.7
37.75667,-122.2,61.5
37.755,-122.19833,54.0
37.75,-122.19167,55.4
37.74667,-122.18833,51.2
37.74,-122.17833,34.4
37.26333,-121.85667,94.5
37.255,-121.85833,94.9
37.29167,-121.87167,91.7
37.29167,-121.87167,91.7
37.9,-122.07,78.8
37.9,-122.07,78.8
37.93,-122.32,68.9
37.93833,-122.35333,75.6
37.93833,-122.35333,75.6
37.91167,-122.065,83.7
37.90167,-122.29667,64.4
37.90333,-122.29833,64.4
37.90833,-122.30333,67.8
37.91167,-122.305,64.4
37.93667,-122.35167,75.6
37.93667,-122.35167,75.6
37.93667,-122.35167,75.6
37.90167,-122.06833,81.3
37.91167,-122.065,83.7
37.70833,-122.14167,55.4
37.56333,-121.98333,83.3
37.71167,-122.14667,47.3
37.59333,-122.01833,77.3
37.66833,-122.08333,57.6
37.66833,-122.08333,57.6
37.55889,-121.98,84.8
37.55889,-121.98,84.8
37.67167,-122.08833,62.1
37.67,-122.08667,62.1
37.68667,-122.11167,71.2
37.89167,-122.29167,77.5
37.72,-122.15833,36.8
37.71833,-122.15667,38.4
37.71667,-122.155,38.4
37.715,-122.15333,40.0
37.28,-121.865,79.8
37.29,-121.87667,91.7
37.305,-121.87833,91.7
37.275,-121.86167,79.8
37.295,-121.87333,91.7
37.295,-121.87333,91.7
37.31,-121.88167,91.7
37.31,-121.88167,91.7
