latitude,longitude,total
37.791115999999995,-122.40381599999999,61.139358380282474
37.741085999999996,-122.40173700000001,72.57482717968767
37.786848,-122.421547,60.393305997266395
37.792888,-122.403135,100.0
37.774722,-122.40676100000002,66.39365365107939
37.807155,-122.419004,100.0
37.780963,-122.46373899999999,54.44640019557511
37.747114,-122.413641,70.86324187974353
37.764013,-122.465749,65.57786081638467
37.771437,-122.423892,77.98779877987799
37.784626,-122.437734,58.68319609738751
37.742325,-122.426476,81.67927903901501
37.794483,-122.396584,45.917861627432586
37.808240000000005,-122.41018899999999,74.44602238001578
37.763578,-122.477461,70.18332944405552
37.755419,-122.41954199999999,60.90780189130024
37.785567,-122.430074,100.0
37.788932,-122.43389499999999,69.20483159427053
37.792888,-122.403135,75.10993321554378
37.792888,-122.403135,100.0
37.774941,-122.452797,40.739362825171405
37.778468,-122.44848400000001,55.15583939346316
37.762513,-122.39716899999999,67.74569044206008
37.754687,-122.42094499999999,63.995418589478
37.765003,-122.39808400000001,41.27779242570722
37.739207,-122.417447,55.304060035633185
37.801665,-122.412104,74.67262916767868
37.794292999999996,-122.40596699999999,75.42591632900664
37.794615,-122.409705,84.97405296085164
37.788484000000004,-122.410045,74.74177695547333
37.785018,-122.42958700000001,92.45166738896111
37.790867999999996,-122.410854,54.76678223377893
37.801665,-122.412104,68.34287238247634
37.795594,-122.408204,51.16599942822565
37.793874,-122.396464,63.17940127346068
37.790642999999996,-122.404676,26.69508061917302
37.798233,-122.40363700000002,76.64028625084731
37.797708,-122.408413,44.4919994644967
37.796208,-122.40430800000001,92.34096249131086
37.797668,-122.401125,64.53817048371504
37.780246999999996,-122.418974,99.5066173283995
37.793268,-122.400323,38.57074596348524
37.788773,-122.434697,77.1979197919792
37.764713,-122.42470900000001,77.93007634096743
37.771487,-122.43704699999999,78.09376493204876
37.769303,-122.450724,75.16878354502117
37.789064,-122.40286100000002,55.08439732862175
37.793128,-122.401395,30.02673600693403
37.765933000000004,-122.46580900000001,73.0199181534315
37.74146,-122.42248400000001,72.84559196660408
37.755124,-122.42091599999999,87.03423675700904
37.723054,-122.48361200000001,77.27883899501062
37.785614,-122.396693,75.49830538609416
37.777014,-122.42234499999999,81.09202772129065
37.715126,-122.398901,62.79313116496836
37.741828999999996,-122.388098,62.312742385349644
37.741828999999996,-122.388098,65.63389950106122
37.760568,-122.387772,72.76290962429576
37.762543,-122.396739,78.61529856689373
37.739961,-122.389003,63.351174511390525
37.792577,-122.393992,99.88332166549988
37.739143,-122.417653,100.0
37.787076,-122.42182199999999,54.40011778955673
37.799594,-122.400586,67.89811044596523
37.790779,-122.404101,38.00356702336901
37.797738,-122.400603,53.584372326121496
37.799087,-122.40848799999999,67.10136978610142
37.797303,-122.408574,48.09995093076559
37.800543,-122.40878400000001,82.95440972668696
37.739063,-122.48040900000001,63.31950366753847
37.775663,-122.497949,51.75238034313942
37.782953000000006,-122.46351000000001,71.50497271949418
37.764148,-122.46439099999999,74.00708959784868
37.725949,-122.43390600000001,88.30105232745497
37.727983,-122.432101,79.37369292484804
37.728343,-122.431722,43.41780527259075
37.72404,-122.45653899999999,79.14510463392018
37.731522999999996,-122.44871100000002,75.65101060370587
37.801203,-122.41141200000001,69.62045093398228
37.800022999999996,-122.44226599999999,56.21583825049172
37.800767,-122.436924,78.88006331497347
37.785227,-122.431472,57.33474458556967
37.800133,-122.43106399999999,67.23716816126057
37.786547999999996,-122.40731299999999,73.11882299341045
37.79826,-122.426748,94.43999955551111
37.790347,-122.417227,75.82289340045116
37.799807,-122.437649,70.36310668103847
37.784193,-122.41796699999999,87.02362458468069
37.775867,-122.41935600000001,99.45216743896611
37.784303,-122.40964699999999,55.38073946283516
37.800187,-122.43775600000001,68.57818374430036
37.790134,-122.420634,78.14137653081548
37.799287,-122.440624,61.80715615421192
37.794134,-122.42323400000001,77.60697022083161
37.786084,-122.41788899999999,79.7935793579358
37.800763,-122.436536,61.492500765228044
37.760954,-122.43493500000001,66.6564036520611
37.802454,-122.42485400000001,71.61805810210652
37.786545000000004,-122.419894,61.72105834922117
37.788609,-122.42213000000001,99.7710882199331
37.785457,-122.43031699999999,68.40353407321408
37.790333000000004,-122.43414399999999,54.189152902218325
37.783017,-122.432584,73.52703767108737
37.782173,-122.448527,100.0
37.797296,-122.421967,45.880309430119965
37.758941,-122.48591,68.29596760845675
37.727468,-122.403582,61.603593692702596
37.783516999999996,-122.39866799999999,98.4420664288651
37.786543,-122.41453600000001,75.94265352461171
37.73571,-122.42452800000001,63.094334830308426
37.712927,-122.44435800000001,76.00910596110116
37.736304,-122.42443200000001,64.9069678209651
37.794346999999995,-122.39493200000001,100.0
37.719691999999995,-122.438575,76.76716560544943
37.784964,-122.404752,99.7744218866331
37.784964,-122.404752,65.1033770043671
37.784964,-122.404752,99.15866586658666
37.788117,-122.399979,100.0
37.801401,-122.44785700000001,88.88222155548888
37.794346999999995,-122.39493200000001,100.0
37.784317,-122.40756299999998,75.99740608981534
37.788613,-122.39389399999999,99.76886577546644
37.757923,-122.393914,66.74586717931052
37.786698,-122.405473,44.037585240005484
37.798444,-122.407444,81.21326072001139
37.799845,-122.409434,78.2104210421042
37.800166,-122.41000600000001,52.503810987159326
37.794501000000004,-122.39716000000001,43.02104654909935
37.762334,-122.398416,72.6632984286083
37.788011,-122.406252,72.76413196875242
37.790109,-122.402597,100.0
37.798965,-122.408204,84.29105132735496
37.799915000000006,-122.409544,86.70164794257204
37.800135,-122.40985400000001,80.02280545514868
37.798914,-122.40888500000001,69.28777569114936
37.799646,-122.40893899999999,60.05656491575084
37.798494,-122.40933700000001,71.71384146961705
37.797828,-122.407474,69.5881291832887
37.798306,-122.407327,67.29082432052729
37.797468,-122.406147,68.33020877845361
37.799837,-122.409517,71.40902745245285
37.797816999999995,-122.408597,64.76663875537879
37.797933,-122.40601799999999,98.72653932059873
37.797828,-122.407444,79.59040348479293
37.797416,-122.406006,61.63290403114385
37.798065,-122.40685500000001,54.63493386375674
37.798065,-122.40685500000001,43.72625813305969
37.798427000000004,-122.40750700000001,69.34719283894202
37.798526,-122.407657,50.923720874502905
37.79886,-122.408204,54.13378342665185
37.799501,-122.40908400000001,66.0840056227845
37.800036,-122.40981699999999,65.44189647722942
37.799003000000006,-122.407274,78.29580735851363
37.799058,-122.40721699999999,70.45531623869458
37.799758000000004,-122.407113,86.327721661055
37.799597999999996,-122.408394,61.431317205794656
37.799388,-122.410223,61.225567001144555
37.797398,-122.405322,86.65497660877199
37.798519,-122.407071,73.16637219277483
37.796718,-122.40871399999999,56.57260372501897
37.800627,-122.409177,59.23595607423991
37.800897,-122.40918899999998,60.64216421642164
37.800253999999995,-122.41044699999999,57.27363430787523
37.798744,-122.407408,63.893675642074015
37.790003000000006,-122.40868799999998,46.624130871868545
37.785614,-122.396693,68.32738582500225
37.754923,-122.423126,64.3948904694391
37.714458,-122.44277,85.02090949835724
37.733449,-122.43424099999999,83.23634268188724
37.775653000000005,-122.49738700000002,89.34337878232267
37.754090000000005,-122.478248,69.91508039692859
37.753633,-122.48953999999999,62.976462725637646
37.760769,-122.498792,61.79089020013112
37.788286,-122.40154299999999,70.29224403921873
37.758941,-122.48591,50.96973665620532
37.728497,-122.47563899999999,68.20971109456625
