latitude,longitude,pointValue
37.63753,-120.9963,97.7
37.58652,-120.98931,95.6
37.69138,-120.95832,99.0
37.38326,-121.91123,39.2
37.96699,-122.07061,61.4
37.52943,-121.91585,17.1
37.63796,-120.89897,99.0
37.64193,-120.76065,99.7
37.81912,-120.67091,99.9
37.68848,-121.05016,97.7
38.33042,-122.4892,99.7
37.80857,-121.27575,88.6
37.69642,-121.88695,20.4
38.50173,-122.75227,99.7
38.52112,-121.47104,99.9
38.63201,-121.43042,99.9
38.63709,-121.32839,99.9
38.58781,-121.26152,99.9
37.8014,-122.26286,37.6
37.42145,-120.85029,99.0
37.32378,-120.54062,99.7
37.29573,-120.32093,99.9
37.09806,-121.01612,97.7
38.55,-122.81483,99.7
37.78404,-122.40746,76.0
38.35026,-122.72084,99.0
37.77525,-122.40405,55.5
37.76783,-122.17474,17.6
37.69166,-122.07554,8.7
37.69315,-122.07361,8.7
37.92424,-122.51117,63.1
37.39179,-121.07097,92.8
37.52697,-120.79485,99.8
37.0731,-121.59019,82.8
37.00448,-121.55579,60.8
38.16157,-122.25977,89.3
37.97862,-122.32676,6.6
38.01559,-121.94472,80.7
37.94929,-121.35282,92.2
38.51078,-121.43845,99.9
37.75344,-121.90992,17.0
37.25235,-121.86312,67.3
38.25178,-122.04381,89.3
37.59757,-120.86509,99.0
38.54057,-121.75769,98.8
38.6624,-121.73885,99.8
38.52151,-121.97088,99.8
37.88288,-121.29719,95.2
38.1616,-121.61269,88.6
36.60376,-121.8536,99.7
36.85238,-121.40496,95.6
36.90893,-121.75405,95.6
37.77883,-122.41867,78.4
37.68612,-122.40286,66.6
37.61499,-122.48552,89.3
37.72597,-122.48145,76.0
37.79761,-122.2661,40.5
37.83676,-122.30385,61.4
37.65784,-122.09695,14.9
37.97423,-122.56247,80.6
37.96269,-122.55618,80.6
37.93842,-122.5306,73.4
38.57453,-121.30593,99.9
36.20487,-121.13428,100.0
37.34256,-120.61543,99.7
38.28023,-122.3011,95.6
37.05725,-120.86154,99.0
37.96694,-121.29057,92.2
38.33896,-122.67856,99.0
37.63754,-120.9963,97.7
38.56888,-121.55048,99.6
38.66056,-121.73531,99.8
38.26738,-122.63594,99.0
38.00549,-121.86302,76.0
38.57178,-121.49488,99.8
36.65516,-121.80435,99.0
37.7766,-122.45041,66.2
37.32076,-122.04555,61.0
37.92548,-122.35837,40.5
38.07675,-122.58254,97.7
38.25878,-122.06605,92.8
38.4091,-121.27008,99.9
38.41714,-121.39588,99.8
37.07338,-121.60633,92.8
38.52167,-121.49909,99.9
37.91619,-122.31147,29.8
37.99674,-121.71373,78.4
38.67039,-121.72988,99.8
37.71046,-121.06899,97.7
37.70626,-121.08408,97.7
37.99296,-121.2503,92.2
37.75461,-121.43193,80.0
38.24141,-121.51289,95.2
37.99674,-122.07368,66.2
38.14566,-122.23505,85.2
38.49862,-121.43978,99.9
38.67638,-121.39254,99.9
38.7034,-121.38428,99.9
38.65918,-121.36022,99.9
38.66673,-121.33523,99.9
37.78361,-122.4129,73.7
37.78016,-122.43239,73.7
37.77563,-122.41972,78.4
37.78002,-122.46443,73.7
37.88935,-122.12898,40.5
37.82487,-122.26628,37.6
37.29577,-122.03305,65.7
36.65546,-121.63581,99.0
37.59238,-120.95485,99.0
38.35123,-121.9944,97.7
38.58627,-121.52752,99.8
37.95117,-121.29007,92.2
38.0161,-121.82032,76.0
38.55158,-121.71917,98.8
38.67513,-121.76773,99.8
38.44518,-121.82411,99.0
38.29683,-122.29011,95.6
38.0199,-121.89148,76.0
38.01917,-122.13355,59.6
36.61387,-121.85006,99.7
36.68254,-121.80326,99.0
36.59419,-121.83731,99.7
36.96743,-122.02725,95.9
37.35513,-121.90592,47.0
38.57852,-122.57962,99.9
36.50786,-121.44379,99.9
36.4282,-121.3275,100.0
36.21079,-121.12733,100.0
38.50632,-122.47139,99.0
36.98517,-120.62809,99.7
37.67489,-121.75509,40.5
36.97836,-122.02121,92.8
37.04968,-122.01887,92.8
36.97467,-121.95324,95.9
36.70152,-121.63218,99.0
37.46319,-122.19783,51.1
37.77518,-122.40414,55.5
37.7279,-122.15868,19.1
37.82447,-122.2324,26.5
37.96204,-122.06907,49.1
37.94242,-121.93728,71.1
38.01017,-122.26626,38.7
37.90622,-122.27869,31.4
37.95985,-122.34117,16.0
37.93674,-122.34279,32.2
37.52814,-120.85744,99.0
38.32304,-122.70927,99.0
38.014,-122.13538,59.6
38.47522,-121.42083,99.9
38.5951,-121.43444,99.8
38.63754,-121.43489,99.9
37.79939,-122.27505,43.2
38.80628,-123.01752,100.0
37.86076,-122.12782,45.0
37.8702,-122.27327,39.9
37.76707,-122.24299,37.6
38.45668,-122.7254,99.9
38.46811,-122.7228,99.9
38.23664,-122.12339,92.8
37.30016,-121.76274,65.1
38.51993,-121.39937,99.9
36.97956,-122.05349,95.9
37.33336,-121.88022,61.2
37.26338,-122.01125,70.6
37.78017,-122.23537,32.2
37.94597,-121.32241,92.2
38.55495,-121.45643,99.9
38.54006,-121.48969,99.9
37.99342,-121.31412,95.2
37.89106,-121.24163,95.2
36.6191,-121.91894,99.9
38.57826,-121.50122,99.8
38.55759,-121.41984,99.9
38.63937,-121.49082,99.8
37.34932,-121.90564,47.0
36.32164,-121.24442,100.0
38.27274,-122.27583,95.6
37.33647,-120.4765,99.9
37.3072,-120.48377,99.9
37.80772,-122.41533,55.5
37.77714,-122.40219,55.5
37.77326,-122.40737,59.4
37.77901,-121.96916,26.1
37.83001,-122.00317,33.1
37.88304,-122.18331,45.0
37.95615,-122.54757,80.7
38.21957,-122.26855,92.8
37.86955,-122.25875,40.3
37.39562,-122.08136,44.3
37.95395,-122.5491,72.0
38.59186,-121.27687,99.9
38.41724,-121.39472,99.8
37.55609,-120.91503,97.7
37.47067,-121.13146,92.8
37.96565,-122.2817,21.3
37.92566,-122.31724,28.2
37.73641,-120.93611,99.7
37.76181,-121.41408,84.5
37.7592,-121.46196,75.3
38.08554,-122.20265,86.7
36.84138,-121.53435,97.7
38.58484,-121.49552,99.8
38.57602,-121.49719,99.8
38.56879,-121.47031,99.9
38.61775,-121.40308,99.9
38.67892,-121.29856,99.9
38.67851,-121.209,99.9
38.50109,-122.99828,99.9
36.20334,-121.13477,100.0
37.38334,-120.61315,99.7
38.44007,-122.35197,99.9
37.32372,-120.48757,99.9
37.15973,-120.29881,99.9
37.0615,-120.84992,99.0
37.7751,-122.40424,55.5
37.97407,-122.02837,65.7
38.08288,-122.23853,76.0
38.24755,-122.04018,89.3
37.31696,-121.02292,95.6
37.50159,-120.84602,99.0
38.26496,-121.30585,99.6
37.1175,-121.63932,89.3
38.34976,-122.70326,99.0
38.44051,-122.70339,99.7
38.16971,-121.68893,90.0
37.63754,-120.99629,97.7
37.63133,-120.97436,97.7
37.76778,-120.8496,99.0
38.29779,-122.45834,99.7
38.24556,-122.64528,99.0
38.13577,-121.2754,97.4
37.7941,-120.99123,98.8
37.74097,-121.13582,95.2
37.79945,-121.23144,92.2
37.73879,-121.41892,84.5
37.44422,-122.15967,52.4
38.23828,-122.03696,89.3
36.89249,-121.39398,89.3
38.68094,-121.16512,99.9
38.63315,-121.22493,99.9
37.38492,-120.72267,99.0
37.36017,-120.60049,99.7
37.30738,-120.48225,99.9
37.25647,-121.00214,95.6
37.06095,-120.85003,99.0
38.40517,-122.8222,99.9
38.60945,-122.86887,99.9
37.00524,-121.57169,79.4
37.38164,-122.1138,61.0
37.97052,-122.03186,61.0
37.99755,-122.52947,85.2
37.97482,-122.53201,76.0
37.98493,-122.59135,95.9
37.87478,-122.46643,76.0
37.88131,-122.46543,55.5
37.89634,-122.52224,73.4
37.29473,-120.48675,99.9
37.4002,-121.93876,39.2
37.38377,-122.13865,71.1
37.79862,-122.4099,76.0
37.72983,-122.39775,61.4
37.7247,-122.4463,83.7
37.90495,-122.06697,41.8
38.06805,-122.8082,99.0
37.39236,-121.98141,41.8
37.30877,-121.96633,56.7
37.31523,-121.92567,52.4
37.42642,-121.97673,33.7
37.48825,-122.22991,45.4
37.70445,-121.91785,16.9
37.55086,-122.30551,46.0
37.88734,-122.29839,37.6
37.33942,-121.84316,55.3
37.96993,-122.33847,13.7
37.37048,-122.04013,44.3
37.50424,-122.26254,62.7
37.45382,-122.17748,56.7
37.51824,-122.27651,58.1
37.49354,-122.22107,42.5
37.4643,-122.43251,67.8
37.47231,-122.13991,47.1
36.59663,-121.8977,99.9
37.67663,-122.45887,76.0
37.59517,-122.38208,55.5
37.63777,-122.41628,66.2
37.57804,-122.3559,56.7
37.55932,-122.2702,39.2
37.65723,-121.87975,16.0
37.2884,-121.94415,61.2
37.6928,-122.47607,76.0
37.69068,-122.47368,76.0
37.60264,-122.39615,45.4
37.58718,-122.02707,18.1
37.53547,-122.02932,23.4
37.9193,-121.68408,73.7
37.90141,-122.06136,38.7
38.09996,-122.24365,76.1
38.0043,-122.29063,19.1
37.55268,-121.96908,28.2
37.71444,-121.88387,23.4
37.29099,-121.88896,56.7
36.58984,-121.88032,99.9
37.49432,-122.23023,42.5
36.96814,-121.8683,97.7
37.76308,-122.42209,63.1
37.47312,-122.20549,47.1
37.74595,-122.45249,67.2
37.74373,-122.48142,73.7
37.35766,-121.91677,41.8
37.47275,-122.15507,48.3
37.60597,-122.06178,12.2
37.93545,-122.35966,37.6
37.9192,-122.32656,34.8
37.87365,-122.51299,73.4
37.65573,-122.05675,15.2
37.76745,-122.41499,59.4
36.5876,-121.85076,99.8
37.72571,-122.45027,80.7
37.34253,-121.84884,56.7
37.36119,-122.12546,67.2
37.67056,-122.08718,10.8
37.52776,-122.51292,85.2
37.44942,-121.91015,28.6
36.67469,-121.65748,99.0
36.5579,-121.91955,99.9
37.221,-121.97906,84.5
37.6555,-122.43684,66.2
37.35354,-121.93868,47.1
38.0525,-122.15345,71.1
38.10668,-122.56941,84.5
37.86089,-122.48673,73.4
